id,persona,scenario,route,component_file,screen_area,friction,severity(1-4),frequency(daily/weekly/rare),evidence(file:line or screenshot),suggested_fix,burden_type(tutor|child|parent|admin)
"T1-16","T1","#3","/freelancer/learninghub?tab=students","GroupsSection.tsx","Group tile","When a group already has homework the big tile opens the existing list; creating needs the small '+' (icon only)","2","weekly","GroupsSection.tsx:89-93,199-201","Label the create button 'Set new' and keep it visible","tutor"
"T1-17","T1","#3","/freelancer/learninghub?tab=notes","lesson/HomeworkForLesson.tsx","Lesson Set homework","Mini-form picks students individually (yearGroup null): no group chip, no 'all Year N'","2","weekly","HomeworkForLesson.tsx:86","Reuse GroupQuickPick and year-mates","tutor"
"T1-18","T1","#9","/freelancer/learninghub?tab=quizzes","quiz/AssessmentBuilder.tsx","Builder modal","Subject, pass mark, timer, audience and retakes (about 250 words) come before the question picker; questions are below the fold","3","weekly","AssessmentBuilder.tsx:164-244","Questions first; settings under 'Options'","tutor"
"T1-19","T1","#9","/freelancer/learninghub?tab=quizzes","quiz/AssessmentBuilder.tsx","Question bank","Reuse is one '+ Add' tap per question; no multi-select, no random pick, no '10 of 10' counter; rows show prompt only","3","weekly","AssessmentBuilder.tsx:277-286","Checkboxes + 'Add N selected'; question counter","tutor"
"T1-20","T1","#9","/freelancer/learninghub?tab=quizzes","quiz/AssessmentList.tsx","Quiz card","No Duplicate/Copy quiz; 'Edit existing' edits the original in place, risking a live quiz","3","weekly","AssessmentList.tsx:314-319; AssessmentBuilder.tsx:143-146","Add 'Duplicate' and warn when editing a set quiz","tutor"
"T1-21","T1","#9","/freelancer/learninghub?tab=quizzes","quiz/QuestionForm.tsx","New question","Question form opens as a modal over the builder modal; about 8 actions per multiple-choice question; new question has no year so year filter hides it; draft questions block publish only at save","3","weekly","AssessmentBuilder.tsx:79,122,303","Inline row-add in the builder; default year from the quiz; auto-publish","tutor"
"T1-22","T1","#10","/freelancer/learninghub?tab=notes","lesson/FlashcardsForLesson.tsx","Send flashcards","Flashcards assigned immediately with no due date; student picker has no year shortcut; tile disappears silently when topic has 0 cards","2","weekly","FlashcardsForLesson.tsx:43,61,87","Year shortcut; show 'no cards for this topic'","tutor"
"T1-23","T1","#10","/freelancer/learninghub?tab=notes","lesson/LessonTutorPanel.tsx","Worksheet","Worksheet has its own 'Set worksheet as homework' button only when the lesson has one; 'Set homework' tile assigns the lesson not the worksheet; Home tile says 'Worksheets 1'","3","weekly","LessonTutorPanel.tsx:42-48; HubHero.tsx:152","One Set for children action offering lesson, worksheet and cards","tutor"
"T1-24","T1","#10","/freelancer/learninghub?tab=homework","homework/HomeworkForm.tsx","Flashcards to revise","Select lists every topic in the account (about 2,457) alphabetically; homework pack ignores worksheetAssessmentId","3","weekly","HomeworkForm.tsx:211-214; hwPack.tsx:15","Search the topic; include the worksheet in the pack","tutor"
"T1-25","T1","#10","/freelancer/learninghub?tab=notes","NotesPanel.tsx","Lessons list","Curriculum heat-map card sits above the search/year filter and pushes the list down","2","weekly","NotesPanel.tsx:646","Collapse the card by default","tutor"
"T1-26","T1","#12","/freelancer/learninghub?tab=questions","LearningHubApp.tsx","Tab badge","Unread messages shown only as a badge on the 11th tab (clipped on desktop, off-screen on phone); Home does not mention them","3","daily","LearningHubApp.tsx:93-97,180; NOTES.md","Add 'N unread messages' to the Attention card","tutor"
"T1-27","T1","#12","/freelancer/learninghub?tab=questions","QuestionsPanel.tsx","Thread list","Three nested accordions (student, lesson, thread) and one-line previews; about 3 taps to open each thread; opening marks read with no 'mark unread'","3","daily","QuestionsPanel.tsx:162-206,374","Flat unread-first list","tutor"
"T1-28","T1","#12","/freelancer/learninghub?tab=questions","QuestionsPanel.tsx","Phone layout","Below 1024 px the thread pane renders under the entire folder list, no scroll-into-view","3","daily","QuestionsPanel.tsx:155","Separate thread screen on phone","tutor"
"T1-29","T1","#12","/freelancer/learninghub?tab=questions","QuestionsPanel.tsx","Reply","No quick replies (unlike MarkDialog chips); tab label 'Student message centre' is long","1","daily","QuestionsPanel.tsx:21,412; MarkDialog.tsx:14","Reuse quick-reply chips; label 'Messages'","tutor"
"T1-30","T1","#13","/freelancer/learninghub?tab=tools","tools/ToolsPanel.tsx","Tool grid","About 120 of 155 catalogue tiles are greyed 'In build'/'Coming soon'; clicking one just logs interest; 'Ready to use only' is off by default","2","rare","ToolsPanel.tsx:66,78; registryData.ts","Default to ready tools only","tutor"
"T1-31","T1","#13","/freelancer/learninghub?tab=tools","HubTabs.tsx","Tab strip","Tools is tab 9 of 11 with a generic label and fallback sparkle icon; not discoverable and cannot attach a tool to a student or homework","2","rare","panels.tsx:31; ToolsPanel.tsx:15","Link tools from lessons/live; 'Show to student'","tutor"
"T1-32","T1","#2","/freelancer/learninghub?tab=homework","homework/TutorHomework.tsx","Segmented control","'Set homework' is both the primary button and the name of a list view (assignments) next to Inbox","2","weekly","TutorHomework.tsx:104,126","Rename the view 'Assigned'","tutor"
"T1-33","T1","#3","/freelancer/learninghub?tab=students","StudentsPanel.tsx","Groups section","Groups block sits above the 8 student cards and is tall (three tiles per group)","2","weekly","StudentsPanel.tsx:434","Collapse groups or move below list","tutor"
