id,persona,scenario,route,component_file,screen_area,friction,severity(1-4),frequency(daily/weekly/rare),evidence,suggested_fix,burden_type(tutor|child|parent|admin)
X3-11,X3 Information architect,4,/freelancer/learninghub,features/learninghub/DiagnosticPanel.tsx,Starting quiz,"Placement is a top-level tab (78 tests, 3-step explainer, Waive form at bottom) for a one-off per-student event",3,weekly,brief 7A.2 #7; 01b Placement row,Fold into Enrol wizard and student profile; authoring in Library,tutor
X3-12,X3 Information architect,4,/freelancer/learninghub,features/learninghub/StudentsPanel.tsx,Enrol,"Enrol then start a Year 3 costs ~23 clicks across Students, Placement, Lessons, Messages",4,weekly,Click count table X3-journal scenario 4,"Enrol wizard: subjects, starting quiz default on, parent invite, first-lesson suggestion",tutor
X3-13,X3 Information architect,"4,8",/freelancer/learninghub,features/learninghub/StudentsPanel.tsx,Student profile,"No student profile hub: progress, message, assign are separate tabs with the student re-picked each time",3,daily,01-inventory Students; brief 7A.2 #12,"Student profile = home for assign, mark, progress, starting quiz, messages, parent",tutor
X3-14,X3 Information architect,3,/freelancer/learninghub,features/learninghub/GroupsSection.tsx,Students,"Groups (marked optional) fill the top half of Students before the primary object, the student",2,daily,brief 7A.2 #12; 01b Students row,Groups as a filter/multiplier chip and as a 'who' in Assign,tutor
X3-15,X3 Information architect,"5,6",/freelancer/learninghub,features/learninghub/LiveLessonsPanel.tsx,Teach,"Live lessons, Schedule video lesson, Teach in person, broadcasting, Rejoin: five names for two modes",3,daily,01-inventory Naming; 00-brief 7A.2 #16,Teach tab: Video class / In-person class,tutor
X3-16,X3 Information architect,5,/freelancer/learninghub,features/learninghub/remotesync/TutorLiveBanner.tsx,Teach,A forgotten broadcast cannot be ended from the UI (endRemoteSync has no caller); stale banner persists days,4,weekly,01c section 5; 01-inventory Broadcasting banner,End button on banner; 45 min idle expiry,tutor
X3-17,X3 Information architect,"1,5",/freelancer/learninghub,features/learninghub/home/NextLesson.tsx,Today,Next lesson on Home duplicates Live lessons 'Nothing coming up',2,daily,01c 1.3,Single Next class card on Today; Teach lists Upcoming,tutor
X3-18,X3 Information architect,6,/freelancer/learninghub,features/learninghub/inperson/InPersonApp.tsx,Teach in person,"No register in in-person flow (no register/attendance in inperson/); scenario 6 needs register, quiz, results",3,weekly,grep of features/learninghub/inperson; brief scenario 6,Register step defaulting all present; quiz and results in the same flow,tutor
X3-19,X3 Information architect,10,/freelancer/learninghub,features/learninghub/tools/ToolsPanel.tsx,Tools,"Tools is a top-level tab of 216 tiles, 138 not ready; no PANEL_ICON; purpose unclear; it is a lesson-time launcher",2,weekly,01-inventory dead code; brief 7A.2 #9,Move to Teach launcher and Library type; hide unreleased,tutor
X3-20,X3 Information architect,3,/freelancer/learninghub,features/learninghub/curriculum/CurriculumCard.tsx,Progress,"Curriculum coverage appears twice (CurriculumRings on Progress, CurriculumCard on Lessons) with different lesson counts and Lessons opens on a 200-cell grid",3,weekly,01-inventory Duplicate paths; 01c section 6,One Coverage view in Library and per-student in Progress; Lessons opens on the list,tutor
X3-21,X3 Information architect,7,/freelancer/learninghub,features/learninghub/ProgressPanel.tsx,Reporting,No parents' evening export or term view a parent can read,3,rare,brief scenario 7; 01-inventory Progress,Per-student report view with print/export,tutor
X3-22,X3 Information architect,8,/freelancer/learninghub,features/learninghub/QuestionsPanel.tsx,Messages,"Student message centre is folders x lessons x threads; key 'questions', API 'doubts', label differs by role",3,daily,"01-inventory Messages, Naming","Unread-first inbox, one thread per child, header icon",tutor
X3-23,X3 Information architect,11,/freelancer/learninghub,features/learninghub/HubHero.tsx,Settings,"Pass mark, show answers, retake, placement required live in another app (/setup?tab=hub); no override where used; staff never see it",2,rare,01-inventory Settings; HubHero.tsx:71,Settings gear in hub; per-quiz overrides,admin
X3-24,X3 Information architect,3,/freelancer/learninghub,features/learninghub/homework/TutorHomework.tsx,Assign,Homework is both a content type and an assignment; segmented 'Set homework' is a list and a button,2,daily,01b Homework row; TutorHomework.tsx:126,Homework = assigned thing only; Assign is the verb,tutor
X3-25,X3 Information architect,All,/freelancer/learninghub,features/learninghub/names.ts,Vocabulary,Notes vs Lessons; hubLessons holds live sessions while hubNotes holds lessons; diagnostic/Placement/Starting quiz/Baseline; Hub has three names,3,daily,01-inventory Naming; 01c 1.1,Adopt vocabulary table in X3-journal section 5,tutor
X3-26,X3 Information architect,3,/freelancer/learninghub,features/learninghub/teachKit.tsx,Quick actions,Quick actions New lesson and Assign homework work by regex-clicking hidden DOM buttons,2,daily,teachKit.tsx:310; 01-inventory dead code,Direct handlers or one action registry,admin
X3-27,X3 Information architect,C1,/custdash/learninghub,features/learninghub/family/KidMode.tsx,Child home,Kid mode gets 7 tabs mirroring tutor tabs; child asks 'what do I do now' and gets 5 peer tabs,3,daily,KidMode.tsx:15; brief 8.2,"Age-band nav: KS1 3 icons, KS2/KS3-4 4 tabs; tasks in Today",child
X3-28,X3 Information architect,C1,/custdash/learninghub,features/learninghub/home/StudentHome.tsx,Child home,Home and Homework tab give different answers (2 due vs none) because empty state shown on failure and overdue called due soon,4,daily,01c 3.1,Share one homework fetch; error not empty,child
X3-29,X3 Information architect,C2,/custdash/learninghub,features/learninghub/shared-assess/StudentAssess.tsx,Child quizzes,Quizzes tab shows 709 incl. 599 locked lesson quizzes; two different 'lock' rules share one word,3,daily,01c section 4; brief 8.2 #3,Only assigned/unlocked in Today; Explore opt-in for KS3-4,child
X3-30,X3 Information architect,P1,/custdash/learninghub,features/learninghub/home/StudentHome.tsx,Parent,"Parent sees 10 tabs incl. Tools, Placement, Quizzes; wants 'is my child OK, what next' in one glance",3,daily,01-inventory tab visibility table; 01b parent Home row,"4 tabs: Today, Progress, Messages, Learning",parent
X3-31,X3 Information architect,C2,/custdash/learninghub,features/learninghub/curriculum/CurriculumCard.tsx,Child lessons,Child Lessons tab opens on a tutor-style curriculum grid before the lessons,2,daily,brief 8.2 #5; CurriculumCard child mode,Lessons first; My map only for KS3-4 under Progress,child
