id,persona,scenario,route,component_file,screen_area,friction,severity,frequency,evidence,suggested_fix,burden_type,round
C2-10,C2,1 what now,Home,features/learninghub/home/StudentHome.tsx,Copy,Home is ~350 words; kid copy is third-person ('Ava's first quiz score will appear here') and 'Strongest topic / Focus next' with percentages,2,daily,"StudentHome.tsx:213,236-241",Second person short copy; drop Focus next percent for kids,child,1
C3-01,C3,1 what now,/custdash/learninghub,features/learninghub/family/KidMode.tsx,Kid bar / mode choice,"No teen mode: only a parent view or Kid mode titled ""{name}'s learning"" with a ""Grown-ups"" lock",4,daily,KidMode.tsx:52-58; FamilyContext.tsx:114,"Add a ""Student"" (13+) display mode: same tabs incl. Progress and Tools; drop the parent lock and the childish header",child,1
C3-02,C3,4 progress,/custdash/learninghub?tab=dashboard,features/learninghub/family/KidMode.tsx,KID_TABS,Kid mode hides Progress Tools and Live so weak topics are unreachable there,4,daily,KidMode.tsx:15,Add dashboard (and tools) to KID_TABS or the teen mode,child,1
C3-03,C3,4 progress,/custdash/learninghub?tab=dashboard,features/learninghub/progress/ProgressView.tsx,Subject cards topic list,Subjects and topics are sorted A-Z so the weakest topic is buried in a long GCSE list,4,daily,ProgressView.tsx:48 and :109,Sort topics weakest-first (untried last) or add a Weakest pill row above the list,child,1
C3-04,C3,4 progress,/custdash/learninghub?tab=home,features/learninghub/home/StudentHome.tsx,Mastery snapshot Focus next,Focus next shows one topic and is a non-tappable div so I cannot act in two taps,3,daily,StudentHome.tsx:241 and :277-288,Make the topic row a button that opens a quiz or lesson for that topic; show the lowest 3,child,1
C3-05,C3,2 quiz,/custdash/learninghub?tab=quizzes,features/learninghub/shared-assess/ResultView.tsx,Result banner actions,Review these N topics only scrolls to the same page and starts no practice,3,daily,ResultView.tsx:107-108; ResultBanner.tsx:77-81,Link each weak topic to a filtered quiz or flashcards for that topic,child,1
C3-06,C3,5 finished early,/custdash/learninghub?tab=home,features/learninghub/home/StudentHome.tsx,Keep going card,"No revision plan: when done the app says Every quiz done — brilliant."" and nothing else""",3,daily,StudentHome.tsx:266,"When nothing is due show ""Revise your weakest"" with 3 topic buttons from mastery data",child,1
C3-07,C3,2 quiz,/custdash/learninghub?tab=quizzes,features/learninghub/shared-assess/ResultView.tsx,Result headline copy,"Primary-school praise: ""Brilliant",0,2,daily,ResultView.tsx:113-114; KidMode.tsx:17,"Neutral wording: ""Passed 72%"" ""6 marks below the pass mark""; keep raw band names for teens",1
C3-08,C3,1 what now,/custdash/learninghub?tab=home,features/learninghub/home/StudentHome.tsx,Hero streak flame,"Flame streak and week dots read as a kids' game; parent summary card (""Emailing me about..."") leads the page",2,daily,StudentHome.tsx:87-99 and :138-144,"Hide flame and parent card in teen mode; keep a plain ""5 days active"" text stat",child,1
C3-09,C3,1 what now,/custdash/learninghub?tab=home,features/learninghub/home/StudentHome.tsx,Home order,"The one clear next step (""Keep going"") is the last card so at 390px it is below several screens",3,daily,StudentHome.tsx:246-255,Move the next-step card directly under the greeting,child,1
C3-10,C3,a curriculum,/custdash/learninghub?tab=notes,features/learninghub/curriculum/CurriculumCard.tsx,What I've covered grid,Wide Year 1-11 lesson-count grid side-scrolls on a phone and shows coverage not mastery,3,weekly,CurriculumCard.tsx:170 and :217 and :135,Default to Year 10-11 columns for a GCSE pupil and colour cells by mastery band,child,1
C3-11,C3,5 finished early,/custdash/learninghub?tab=notes,features/learninghub/lesson/DoneStep.tsx,Lesson player,"Confetti XP pills and Keep going! / Great work! / Brilliant!"" in the lesson finish""",2,weekly,DoneStep.tsx:12 and :40; LessonPlayer.tsx:292-316,Turn off confetti and XP for Year 9+ (a flag on the child's year),child,1
C3-12,C3,b messages,/custdash/learninghub?tab=questions,features/learninghub/QuestionsPanel.tsx,Family messages,"No photo attachment for working-out, and 3 taps (folder, thread, reply) to reach a thread",2,weekly,QuestionsPanel.tsx:265 and :352,Add an image attach button; open the newest unread thread by default,child,1
C3-13,C3,2 quiz,/custdash/learninghub?tab=quizzes,features/learninghub/shared-assess/StudentAssess.tsx,Quiz list,Quizzes sorted by subject then title with no weak-topic or unfinished filter so I cannot pick what to revise,3,daily,StudentAssess.tsx:74,Add chips: Weakest topics / Unfinished / Retake,child,1
C4-01,C4,2,/custdash/learninghub?child=,features/learninghub/shared-assess/TakeAssessment.tsx,quiz timer,Live countdown pill turns red under 60s and answers auto-submit at zero; leaving keeps the clock running; child cannot switch it off,4,,"TakeAssessment.tsx:225,260,277-279,287,354","Per-child 'no timer' option set by tutor/parent; show time as a quiet static hint, no red, no auto-submit",,1
C4-02,C4,b,/custdash/learninghub?child=,features/learninghub (whole),read-aloud,"No speechSynthesis or read-aloud button on Home, quiz, lesson or homework; only tool X-08 which kid mode cannot reach",4,,registryData.ts:182; grep found no speechSynthesis; KID_TABS omits tools (KidMode.tsx:15),"Add a speaker button to prompts, feedback and Home cards (browser TTS), switchable in Comfort settings",,1
C4-03,C4,b,/custdash/learninghub?child=,features/learninghub/tools/english/readingOptions.tsx,reading settings,Text size and line spacing exist only inside writing tools and reset every visit; no global font/colour/spacing control,3,,readingOptions.tsx:6 'Local to the component; nothing stored',Store a per-child reading profile behind the Grown-ups gate and apply hub-wide,,1
C4-04,C4,1,/custdash/learninghub?child=,features/learninghub/home/StudentHome.tsx,home,"Home has about 9 blocks and 3 competing CTAs (Review now, homework rows, Keep going) with 11-13px grey text and staggered entrance animation",3,,"StudentHome.tsx:124-262,138,235","Kid mode: one 'Do this next' card first (use d.step), rest under 'More'",,1
C4-05,C4,2,/custdash/learninghub?child=,features/learninghub/homework/StudentHomework.tsx,homework due state,"Red 'Overdue', 'Overdue by N days', warning triangle, red 'Handed in late' badge and '2 overdue' tile read as blame",3,,"hwTypes.ts:44; StudentHomework.tsx:71-72,83,104,190,333","Kid wording 'Waiting for you' / 'Due Tuesday', gold not red, drop 'late' badge in kid mode",,1
C4-06,C4,2,/custdash/learninghub?child=,features/learninghub/shared-assess/ResultView.tsx,result review,"Red '✗ Not quite' chip, '0 / 1 marks', percentages and 'N points short of the 70% pass mark' shown for every question at once",3,,"ResultView.tsx:126,194,208",Kid result: ring + one sentence + 'Look back' button; use 'Try again' chip in blue; hide marks,,1
C4-07,C4,2,/custdash/learninghub?child=,features/learninghub/lesson/LessonPlayer.tsx,lesson XP and streak,"XP chip, in-lesson streak that resets on a wrong answer, confetti bursts; red-soft 'Not quite' box for mistakes",2,,"LessonPlayer.tsx:252-258,292; WarmupStep.tsx:113-114; DoneStep.tsx:61","Calm mode setting hides XP, streak reset and confetti; never reset visibly",,1
C4-08,C4,2,/custdash/learninghub?child=,features/learninghub/flashcards/fcTypes.ts,flashcard rating,Rating labels 'Again / Hard / Good / Easy' with hints 'Didn't know it' / 'Too easy' and keyboard shortcut hints; 'Again' is red,2,,fcTypes.ts:20-23; ReviewSession.tsx:169,Kid labels with icons: 'Show me again' / 'Tricky' / 'Got it'; no red,,1
C4-09,C4,a,/custdash/learninghub?child=,features/learninghub/home/homeKit.tsx,error copy,Errors show 'Couldn't load {what} — {message}' and 'A rating didn't save'; developer text can leak; scary auto-submit failure text,2,,"homeKit.tsx:130; ReviewSession.tsx:73,130; TakeAssessment.tsx:132","One kid error: 'Oops, that didn't work. Nothing is lost. [Try again]'; hide raw message",,1
C4-10,C4,4,/custdash/learninghub?child=,features/learninghub/family/KidMode.tsx,navigation,'See progress' targets the dashboard tab but KID_TABS excludes it so kid mode redirects to Home; tools tab unreachable so no 'finished early' options,2,,"KidMode.tsx:15,20; LearningHubApp.tsx:85; StudentHome.tsx:243",Add a simple kid 'My stars' view or remove the button; add Free choice card when allDone,,1
C4-11,C4,4,/custdash/learninghub?child=,features/learninghub/home/StudentHome.tsx,progress display,"Percentages, 'Focus next' weakest-topic label and 'Based on 3 of 8 topics practised' can feel like a scorecard",2,,"StudentHome.tsx:235,241,296",Show bands/stars only; rename to 'Try next',,1
C4-12,C4,b,/custdash/learninghub?child=,features/learninghub (settings),controls,"No per-child switch for timers, scores, streak, motion; only OS reduced-motion; child has no control at all",3,,motion.tsx:17-20; brief 8.3 lists as principle,Comfort panel behind Grown-ups gate (parent) with tutor default,,1
P1-01,P1,1 week/overdue,/custdash/learninghub,features/learninghub/home/StudentHome.tsx,Home parent summary,No on-track/overdue verdict; summary counts done items only and overdue is only in the Homework card lower down,4,daily,StudentHome.tsx:106-118 vs :180-200,"Lead the ""this week"" strip with ""1 homework overdue (title)"" or ""Nothing overdue""",parent,1
P1-02,P1,1 week/overdue,/custdash/learninghub,features/learninghub/LearningHubApp.tsx,Home layout on phone,"Parent summary sits below hero + FamilyBar + tabs; then a child-addressed hero (""Good morning Ava. You have..."") so parent must translate",3,daily,LearningHubApp.tsx:232-247; StudentHome.tsx:132-135,Collapse hero on Home for parents or move the summary above the tabs,parent,1
P1-03,P1,3b notifications,server,server/src/lib/hubNotify.ts,Notification triggers,"Only tutor actions notify; nothing for overdue homework / lesson starting soon / child not logged in; notify.ts advertises ""new notes"" but no trigger",4,weekly,hubNotify.ts callers in SRV/homeworkApi.ts lessonsApi.ts doubtsApi.ts attempts.ts inPersonApi.ts; notify.ts:50-51,"Add ""due tomorrow/overdue"" and ""lesson in 1 hour"" notices",parent,1
P1-04,P1,3 contact,server,server/src/routes/hub/doubtsApi.ts,Tutor reply notification,Only the first tutor reply notifies; follow-up replies are silent,3,weekly,doubtsApi.ts:177-179 firstReply,Notify on every tutor reply (or batch per thread per hour),parent,1
P1-05,P1,3 contact,/custdash/messages,features/learninghub/family/FamilyContext.tsx,Ask your tutor,Ask your tutor leaves hub to portal messages while replies show in hub Messages tab: two inboxes; no route for cancel/problem/billing/urgent,3,rare,LearningHubApp.tsx:211; QuestionsPanel.tsx:265; FamilyContext.tsx:136-139,One inbox; compose chooser (question / can't attend / other) and show tutor contact if set,parent,1
P1-06,P1,3b notifications,/custdash/learninghub,features/learninghub/home/StudentHome.tsx,Email mute toggle,"Single ""learning"" category: muting noise also mutes cancellations and time changes; toggle hidden under summary and names only one child",2,rare,StudentHome.tsx:281-283; notify.ts:332,Split changes (never mute) from reminders/marks; move to settings link,parent,1
P1-07,P1,3b notifications,server,server/src/routes/hub/homeworkApi.ts,New homework wording,"Plural grammar: ""Ava and Leo has new homework""; lesson-reopened wording is child-facing ('rejoin')",1,weekly,homeworkApi.ts:137; lessonsApi.ts:401,"Use ""have"" for plural names; simplify reopened",parent,1
P1-08,P1,3b notifications,server,server/src/routes/hub/lessonsApi.ts,Time-change notice,Change notice gives new time only (not old); times hard-coded Europe/London,2,rare,lessonsApi.ts:97; :343,"Say ""moved from X to Y""",parent,1
P1-09,P1,3c kid mode,/custdash/learninghub,features/learninghub/family/FamilyContext.tsx,Hand over pill,"Explanation (""needs a grown-up to leave"") is hidden on phones; hand-over fires instantly with no confirm; kid tabs exclude Live so child can't join video from kid mode",3,weekly,FamilyContext.tsx:114; KidMode.tsx:15,One-time confirm sheet explaining how to leave; add Live/Join to kid tabs,parent,1
P1-10,P1,3c gate,/custdash/learninghub,features/learninghub/family/ParentGate.tsx,Grown-ups gate,"13-19 x 6-9 mental sum is heavy on a commute; copy says ""the family menu""",2,weekly,ParentGate.tsx:10-11; :27,"Easier sum (e.g. 47 + 38) and copy ""back to the app""",parent,1
P1-11,P1,3d curriculum,/custdash/learninghub?tab=notes,features/learninghub/curriculum/CurriculumCard.tsx,"""What I've covered""",Child-voice title read by parent; lives in Lessons tab not Progress; grid Y1-Y6 scrolls sideways; given/assigned/to go vocabulary; finished depends on quiz hand-in,2,rare,CurriculumCard.tsx:92; NotesPanel.tsx:646; legend ~:170,Third-person title for parent and surface it in Progress,parent,1
P1-12,P1,3a two children,/custdash/learninghub,features/learninghub/HubHero.tsx,Child switch,No cross-child glance (overdue/unread dot on other pill); default child is unconfirmed with no prompt; multi-child emails open last-picked child,2,daily,HubHero.tsx:88-97; useHubData.ts:59; hubNotify.ts:66,Badge on the other child's pill; carry child= where possible,parent,1
P1-13,P1,2 next lesson,/custdash/learninghub?tab=live,features/learninghub/live/Lobby.tsx,Join lobby,"Camera help says click padlock at address bar (desktop wording); pre-window button is ""Lesson details"" not a dated Join; countdown built for child (ticking secs)",2,weekly,Lobby.tsx:212-214; NextLesson.tsx:138-145,Phone-specific permission help; show day+time large above countdown,parent,1
P1-14,P1,2 next lesson,/custdash/learninghub,features/learninghub/remotesync/JoinRemoteSyncBanner.tsx,Live banner,"Child-voice: ""Your tutor has started X - join now"" button ""Start""",1,rare,JoinRemoteSyncBanner.tsx:69-71,Parent-safe wording when not in kid mode,parent,1
P1-15,P1,1 week/overdue,/custdash/learninghub,features/learninghub/home/StudentHome.tsx,Latest results / mastery,Mastery % can show while Latest results empty and % has no plain meaning (data-truth row 2),3,weekly,01c-data-truth.md row 2; StudentHome.tsx:212-247,"One attempt source; caption ""78% = mostly secure""",parent,1
P2-01,P2,a language,/custdash/learninghub,features/learninghub (whole),all hub screens,Language switcher changes nothing inside the hub; 0 of hub files use useI18n; page flips RTL for Urdu/Arabic with English text,4,,grep useI18n in features/learninghub = 0 files; lib/i18n/messages/areas has no hub area; provider.tsx sets dir=rtl,Add a hub i18n area and translate the parent-visible ~60 strings first (Home summary,,1
P2-02,P2,1 this week,/custdash/learninghub?tab=home,features/learninghub/home/StudentHome.tsx:220,Mastery snapshot card,"Jargon: ""Mastery snapshot"", ring sub-label ""mastery"", ""Strongest subject"", 78% of what is never said",3,,StudentHome.tsx:220,231,,1
P2-03,P2,b result meaning,/custdash/learninghub,features/learninghub/progress/Attainment.tsx:61,Attainment / band chip,'Attainment' and band words Learning/Developing/Secure (Secure reads as 'safe'); tutor can rename bands,3,,Attainment.tsx:61; lib/hubConfig.ts:76,Use the kid words for parents too (Getting started / Getting there / Got it) or add a one-line key with icons,,1
P2-04,P2,1 this week,/custdash/learninghub?tab=home,features/learninghub/home/StudentHome.tsx:78,Keep going card,"Parent is told 'Take the placement test' with no explanation of what it is, who does it, or if it is required",3,,StudentHome.tsx:78; DiagnosticPanel.tsx:12; ProgressView.tsx:96,Label 'Starting quiz' for everyone and add 'A short quiz to find Ava's starting level. Ava does this'; same word on the tab,,1
P2-05,P2,1 this week,/custdash/learninghub?tab=home,features/learninghub/home/StudentHome.tsx:106-134,Summary + hero,Home speaks to the child ('You have 4 flashcards') so a parent cannot tell who must act; no 'nothing needed from you' line,3,,StudentHome.tsx:112,134; ProgressView.tsx:63,,1
P2-06,P2,2 join lesson,/custdash/learninghub?tab=live,features/learninghub/live/Lobby.tsx:205-215,Camera-blocked help,"Help is English, says 'padlock icon at the left of the address bar' (not true on Android Chrome), no picture, no contact if it fails",3,,Lobby.tsx:205-214,Phone-specific 3 steps with an image; add 'You can join without camera' at the top and an 'Ask your tutor' link,,1
P2-07,P2,2 join lesson,/custdash/learninghub?tab=live,features/learninghub/live/Lobby.tsx:257-274,Which child joins,Join button disabled until a child is picked; long English safeguarding sentence explains why,2,,Lobby.tsx:257,269,,1
P2-08,P2,2 join lesson,/custdash/learninghub?tab=home,features/learninghub/home/NextLesson.tsx:143,Next lesson hero,Before the room opens the button says 'Lesson details' not Join; countdown 'hrs/min/sec' and 'Joining opens 10 min before' are English; parent unsure if it is broken,2,,NextLesson.tsx:22,138,,1
P2-09,P2,all,/custdash/learninghub,features/learninghub/HubTabs.tsx:113,Tab strip,"10 text-only tabs in a scrolling row at 360px; icons only at lg (>=1024px); 'Placement test', 'Lessons', 'Tools' unexplained; parent-visible Tools tab",3,,HubTabs.tsx:113 hidden lg:inline-flex; inventory tab table,Show icons on phones (icon over label) and hide Tools/Placement from parents' strip,,1
P2-10,P2,3 something wrong,/custdash/learninghub,features/learninghub/types.ts:144,Error messages,errMsg returns raw e.message; fallbacks like 'Couldn't load your lessons' have no next step or contact,3,,types.ts:144; useHubData.ts:46,125; LiveLessonsPanel.tsx:92,,1
P2-11,P2,3 something wrong,/custdash/learninghub,features/learninghub/LearningHubApp.tsx:164,Hub-off empty state,'None of your providers have switched on My Classroom yet' is a dead end with jargon and no contact,3,,LearningHubApp.tsx:164,Say 'Your tutor has not opened My Classroom yet. Tap to message them.' with the message button,,1
P2-12,P2,3 something wrong,/custdash/learninghub,features/learninghub/family/FamilyContext.tsx:111-138,Family bar,"'Hand over to Ava' is the biggest button, 'Ask your tutor' the smallest; help text hidden below sm; accident tap enters kid mode",3,,FamilyContext.tsx:80,115,,1
P2-13,P2,c gate,/custdash/learninghub,features/learninghub/family/ParentGate.tsx:14-31,Grown-ups only gate,"Multiplication 13-19 x 6-9 in English text ('What is 17 x 8?'), new random sum after each mistake; parent with low maths/English can be locked out",2,,ParentGate.tsx:14,16,,1
P2-14,P2,b result meaning,/custdash/learninghub?tab=home,features/learninghub/home/StudentHome.tsx:306,Result tile chips,Red 'Not yet' with warning triangle for a lower score; 'Awaiting marking' is hard; 'Partly right' half-circle icon is unclear,2,,StudentHome.tsx:306; shared-assess/ResultView.tsx:192-193,Use 'Try again' (amber) and 'Tutor is checking'; show 'Score 12 out of 20',,1
P2-15,P2,2 join lesson,/custdash/learninghub,features/learninghub/homework/hwTypes.ts:50,Due dates,Date formatted en-GB fixed ('Due Tue,3,,daily,hwTypes.ts:44-50,,1
P2-16,P2,1 this week,/custdash/learninghub?tab=dashboard,features/learninghub/progress/ProgressView.tsx:63-96,Progress tab,"Progress screen talks to 'you' and uses 'baseline', 'coverage', 'Placement tests set your starting point'",3,,ProgressView.tsx:63,96; progress/charts.tsx:14,,1
T1-01,T1,#2,/freelancer/learninghub?tab=homework,homework/MarkDialog.tsx,Mark dialog,"No batch marking: each hand-in is opened, scored and saved one at a time; 'Out of' defaults to 10 and is not remembered per homework",3,,,"Add 'Full marks' shortcut, remember Out-of per homework, allow marking from the list row",,1
T1-02,T1,#2,/freelancer/learninghub?tab=quizzes (Marking),quiz/MarkingQueue.tsx,Marking queue,"Hand-ins, written quiz answers and placement papers are three separate marking places with two different UIs",3,,,One 'Mark queue' listing all three kinds,,1
T1-03,T1,#2,/freelancer/learninghub?tab=home,home/TutorHome.tsx,Needs your attention,"'Overdue homework' row goes to the Homework tab which auto-selects 'To mark', so overdue items are not shown; nothing to chase or remind",3,,,Pass a filter (assigned+overdue) with the tab jump; add a 'Remind' action on overdue rows,,1
T1-04,T1,#2,/freelancer/learninghub?tab=home,home/TutorHome.tsx,Needs your attention,"Badge '23 things' adds papers, child-homework pairs and people; written count can under-report (300-attempt slice)",2,,,Pass ?status=pending_marking; count one unit,,1
T1-05,T1,#8,/freelancer/learninghub?tab=home,home/ClassSnapshot.tsx,Needs a nudge card,"'Needs a nudge' row's chip says 'Assign' and only jumps to the Homework tab (no form, no student); does not help contact the child or parent",3,,,Open a prefilled message to that child; rename chip to 'Message',,1
T1-06,T1,#8,/freelancer/learninghub?tab=questions,QuestionsPanel.tsx,New message composer,Only a blank message into the child's thread; no kind template and no visible statement that the parent is told,3,,,Prefilled friendly check-in text and 'Parent is notified' line,,1
T1-07,T1,#8,/freelancer/learninghub?tab=home,home/TutorHome.tsx,Quiet row,'Quiet for 14+ days' opens Students unfiltered; no highlight of the quiet children,2,,,Filter/highlight the quiet students on arrival,,1
T1-08,T1,#8,/freelancer/learninghub?tab=home,home/ClassSnapshot.tsx,Nudge wording,'Quiet'/'Needs a nudge' label reads blame-y; 'quiet' includes kids who never opened assigned work,2,,,Neutral wording ('Check in') and correct definition,,1
T1-09,T1,#1,/freelancer/learninghub?tab=home,HubHero.tsx,Hero stat tiles,4 vanity stat tiles and lede push Next lesson and Attention down (about 90 words) at 6:55pm,3,,,Hide/collapse tiles on Home by default; put Next lesson first,,1
